date,open,high,low,close,volume
2020-01-05,7145.05,7495.0,6853.53,7430.83,18877.68538325
2020-01-12,7431.63,8463.57,7310.0,8113.39,51732.11803364
2020-01-19,8114.82,9188.1,8039.0,8640.6,56161.696306159996
2020-01-26,8641.38,8792.98,8212.9,8553.43,36543.09400472
2020-02-02,8553.43,9570.0,8519.63,9437.47,43689.68535027
2020-02-09,9438.0,10178.54,9075.0,10077.87,37124.88914031
2020-02-16,10077.87,10500.5,9598.49,9808.0,47709.94280921
2020-02-23,9812.74,10300.0,9312.0,9903.75,39209.35165239
2020-03-01,9903.75,10027.66,8421.49,8440.28,45533.72740739
2020-03-08,8448.4,9219.13,8151.0,8287.29,34708.49322519
2020-03-15,8282.91,8312.44,3850.0,5311.32,168108.53012455002
2020-03-22,5324.4,7139.0,4435.89,5927.76,155809.5222113
2020-03-29,5925.69,6989.04,5686.34,5905.26,97028.4257545
2020-04-05,5904.88,7236.39,5856.0,6809.5,71153.62873414
2020-04-12,6808.89,7469.0,6725.9,7136.11,62374.69913064
2020-04-19,7136.12,7306.15,6472.67,7145.49,61573.4081804
2020-04-26,7134.0,7756.69,6757.75,7659.0,54351.90861706
2020-05-03,7665.05,9485.26,7591.99,8880.18,90649.70763581
2020-05-10,8868.08,10074.0,8109.0,8513.29,119225.96344537
2020-05-17,8515.83,9945.34,8181.0,9766.75,116450.32014895
2020-05-24,9767.28,9966.12,8800.0,9016.73,72474.97190145
2020-05-31,9015.81,9758.27,8630.0,9507.95,54019.23444732
2020-06-07,9511.65,10429.26,9135.68,9776.52,68474.15297535
2020-06-14,9780.62,10011.4,9078.91,9392.31,49057.08893106
2020-06-21,9392.31,9596.31,8900.0,9338.59,39404.0337682
2020-06-28,9340.42,9798.76,8830.63,9108.21,45697.83403665
2020-07-05,9100.73,9300.0,8939.0,9026.83,26908.75520526
2020-07-12,9026.83,9479.57,8905.0,9221.81,29143.80564517
2020-07-19,9219.65,9351.17,9026.51,9168.0,24178.71075085
2020-07-26,9168.0,10200.0,9128.21,9873.29,46268.3604764
2020-08-02,9872.55,12100.0,9844.0,11199.0,101760.13066727
2020-08-09,11200.75,11920.0,10933.26,11632.29,47732.570279809996
2020-08-16,11639.92,12080.0,11130.0,11820.49,42627.57297078
2020-08-23,11823.14,12473.0,11367.0,11681.56,43783.320373739996
2020-08-30,11690.05,11832.55,11112.75,11644.7,31884.49163668
2020-09-06,11640.7,12065.82,9850.0,10265.59,78905.24543885
2020-09-13,10265.45,10576.78,9825.07,10311.07,47747.71870916
2020-09-20,10312.53,11183.01,10250.13,10869.15,37586.32962248
2020-09-27,10865.88,10996.98,10138.3,10735.99,38471.05776628
